movie_id,title,rating,genres,keywords,cast,director,comb
2454,The Chronicles of Narnia: Prince Caspian,6.3,Adventure Family Fantasy,based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world,Ben Barnes William Moseley Anna Popplewell,Andrew Adamson,2454 The Chronicles of Narnia: Prince Caspian 6.3 Adventure Family Fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world Ben Barnes William Moseley Anna Popplewell Andrew Adamson
24428,The Avengers,7.4,Science Fiction Action Adventure,new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe,Robert Downey Jr. Chris Evans Mark Ruffalo,Joss Whedon,24428 The Avengers 7.4 Science Fiction Action Adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe Robert Downey Jr. Chris Evans Mark Ruffalo Joss Whedon
1865,Pirates of the Caribbean: On Stranger Tides,6.4,Adventure Action Fantasy,sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d,Johnny Depp Penélope Cruz Ian McShane,Rob Marshall,1865 Pirates of the Caribbean: On Stranger Tides 6.4 Adventure Action Fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d Johnny Depp Penélope Cruz Ian McShane Rob Marshall
41154,Men in Black 3,6.2,Action Comedy Science Fiction,time travel time machine alien fictional government agency seeing the future changing history,Will Smith Tommy Lee Jones Josh Brolin,Barry Sonnenfeld,41154 Men in Black 3 6.2 Action Comedy Science Fiction time travel time machine alien fictional government agency seeing the future changing history Will Smith Tommy Lee Jones Josh Brolin Barry Sonnenfeld
122917,The Hobbit: The Battle of the Five Armies,7.1,Action Adventure Fantasy,corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson,122917 The Hobbit: The Battle of the Five Armies 7.1 Action Adventure Fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery Martin Freeman Ian McKellen Richard Armitage Peter Jackson
1930,The Amazing Spider-Man,6.5,Action Adventure Fantasy,loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger,Andrew Garfield Emma Stone Rhys Ifans,Marc Webb,1930 The Amazing Spider-Man 6.5 Action Adventure Fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger Andrew Garfield Emma Stone Rhys Ifans Marc Webb
20662,Robin Hood,6.2,Action Adventure,robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england,Russell Crowe Cate Blanchett Max von Sydow,Ridley Scott,20662 Robin Hood 6.2 Action Adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england Russell Crowe Cate Blanchett Max von Sydow Ridley Scott
57158,The Hobbit: The Desolation of Smaug,7.6,Adventure Fantasy,elves dwarves orcs hobbit dragon wizard sword and sorcery,Martin Freeman Ian McKellen Richard Armitage,Peter Jackson,57158 The Hobbit: The Desolation of Smaug 7.6 Adventure Fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery Martin Freeman Ian McKellen Richard Armitage Peter Jackson
2268,The Golden Compass,5.8,Adventure Fantasy,england compass experiment lordship uncle polar bear orphan animal based on young adult novel,Dakota Blue Richards Nicole Kidman Daniel Craig,Chris Weitz,2268 The Golden Compass 5.8 Adventure Fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel Dakota Blue Richards Nicole Kidman Daniel Craig Chris Weitz
254,King Kong,6.6,Adventure Drama Action,film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur,Naomi Watts Jack Black Adrien Brody,Peter Jackson,254 King Kong 6.6 Adventure Drama Action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur Naomi Watts Jack Black Adrien Brody Peter Jackson
597,Titanic,7.5,Drama Romance Thriller,shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s,Kate Winslet Leonardo DiCaprio Frances Fisher,James Cameron,597 Titanic 7.5 Drama Romance Thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s Kate Winslet Leonardo DiCaprio Frances Fisher James Cameron
271110,Captain America: Civil War,7.1,Adventure Action Science Fiction,civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,Chris Evans Robert Downey Jr. Scarlett Johansson,Anthony Russo Joe Russo,271110 Captain America: Civil War 7.1 Adventure Action Science Fiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d Chris Evans Robert Downey Jr. Scarlett Johansson Anthony Russo Joe Russo
44833,Battleship,5.5,Thriller Action Adventure Science Fiction,fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri,Taylor Kitsch Alexander Skarsgård Rihanna,Peter Berg,44833 Battleship 5.5 Thriller Action Adventure Science Fiction fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri Taylor Kitsch Alexander Skarsgård Rihanna Peter Berg
135397,Jurassic World,6.5,Action Adventure Science Fiction Thriller,monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror,Chris Pratt Bryce Dallas Howard Irrfan Khan,Colin Trevorrow,135397 Jurassic World 6.5 Action Adventure Science Fiction Thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror Chris Pratt Bryce Dallas Howard Irrfan Khan Colin Trevorrow
37724,Skyfall,6.9,Action Adventure Thriller,spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao,Daniel Craig Judi Dench Javier Bardem,Sam Mendes,37724 Skyfall 6.9 Action Adventure Thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao Daniel Craig Judi Dench Javier Bardem Sam Mendes
558,Spider-Man 2,6.7,Action Adventure Fantasy,dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain,Tobey Maguire Kirsten Dunst James Franco,Sam Raimi,558 Spider-Man 2 6.7 Action Adventure Fantasy dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain Tobey Maguire Kirsten Dunst James Franco Sam Raimi
68721,Iron Man 3,6.8,Action Adventure Science Fiction,terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis,Robert Downey Jr. Gwyneth Paltrow Don Cheadle,Shane Black,68721 Iron Man 3 6.8 Action Adventure Science Fiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis Robert Downey Jr. Gwyneth Paltrow Don Cheadle Shane Black
12155,Alice in Wonderland,6.4,Family Fantasy Adventure,based on novel fictional place queen fantasy alice in wonderland fantasy world 3d,Mia Wasikowska Johnny Depp Anne Hathaway,Tim Burton,12155 Alice in Wonderland 6.4 Family Fantasy Adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d Mia Wasikowska Johnny Depp Anne Hathaway Tim Burton
36668,X-Men: The Last Stand,6.3,Adventure Action Science Fiction Thriller,mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger,Hugh Jackman Halle Berry Ian McKellen,Brett Ratner,36668 X-Men: The Last Stand 6.3 Adventure Action Science Fiction Thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger Hugh Jackman Halle Berry Ian McKellen Brett Ratner
62211,Monsters University,7.0,Animation Family,monster dormitory games animation best friend university scary aftercreditsstinger,Billy Crystal John Goodman Steve Buscemi,Dan Scanlon,62211 Monsters University 7.0 Animation Family monster dormitory games animation best friend university scary aftercreditsstinger Billy Crystal John Goodman Steve Buscemi Dan Scanlon
8373,Transformers: Revenge of the Fallen,6.0,Science Fiction Action Adventure,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,Shia LaBeouf Megan Fox Josh Duhamel,Michael Bay,8373 Transformers: Revenge of the Fallen 6.0 Science Fiction Action Adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger Shia LaBeouf Megan Fox Josh Duhamel Michael Bay
91314,Transformers: Age of Extinction,5.8,Science Fiction Action Adventure,sequel alien transformers giant robot robot imax transforming robot,Mark Wahlberg Stanley Tucci Kelsey Grammer,Michael Bay,91314 Transformers: Age of Extinction 5.8 Science Fiction Action Adventure sequel alien transformers giant robot robot imax transforming robot Mark Wahlberg Stanley Tucci Kelsey Grammer Michael Bay
68728,Oz: The Great and Powerful,5.7,Fantasy Adventure Family,circus witch magic hope illusion lost magic trick wizard 3d,James Franco Mila Kunis Rachel Weisz,Sam Raimi,68728 Oz: The Great and Powerful 5.7 Fantasy Adventure Family circus witch magic hope illusion lost magic trick wizard 3d James Franco Mila Kunis Rachel Weisz Sam Raimi
102382,The Amazing Spider-Man 2,6.5,Action Adventure Fantasy,obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers,Andrew Garfield Emma Stone Jamie Foxx,Marc Webb,102382 The Amazing Spider-Man 2 6.5 Action Adventure Fantasy obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers Andrew Garfield Emma Stone Jamie Foxx Marc Webb
20526,TRON: Legacy,6.3,Adventure Action Science Fiction,artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy,Garrett Hedlund Jeff Bridges Olivia Wilde,Joseph Kosinski,20526 TRON: Legacy 6.3 Adventure Action Science Fiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy Garrett Hedlund Jeff Bridges Olivia Wilde Joseph Kosinski
49013,Cars 2,5.8,Animation Family Adventure Comedy,car race sequel comedy anthropomorphism best friend duringcreditsstinger,Owen Wilson Larry the Cable Guy Michael Caine,John Lasseter Brad Lewis,49013 Cars 2 5.8 Animation Family Adventure Comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger Owen Wilson Larry the Cable Guy Michael Caine John Lasseter Brad Lewis
44912,Green Lantern,5.1,Adventure Action Thriller Science Fiction,dc comics transformation superhero alien alien infection magical object protector super powers origin 3d,Ryan Reynolds Blake Lively Peter Sarsgaard,Martin Campbell,44912 Green Lantern 5.1 Adventure Action Thriller Science Fiction dc comics transformation superhero alien alien infection magical object protector super powers origin 3d Ryan Reynolds Blake Lively Peter Sarsgaard Martin Campbell
10193,Toy Story 3,7.6,Animation Family Comedy,hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story,Tom Hanks Tim Allen Ned Beatty,Lee Unkrich,10193 Toy Story 3 7.6 Animation Family Comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story Tom Hanks Tim Allen Ned Beatty Lee Unkrich
534,Terminator Salvation,5.9,Action Science Fiction Thriller,saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles,Christian Bale Sam Worthington Anton Yelchin,McG,534 Terminator Salvation 5.9 Action Science Fiction Thriller saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles Christian Bale Sam Worthington Anton Yelchin McG
168259,Furious 7,7.3,Action,car race speed revenge suspense car race muscle car,Vin Diesel Paul Walker Dwayne Johnson,James Wan,168259 Furious 7 7.3 Action car race speed revenge suspense car race muscle car Vin Diesel Paul Walker Dwayne Johnson James Wan
72190,World War Z,6.7,Action Drama Horror Science Fiction Thriller,dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse,Brad Pitt Mireille Enos Abigail Hargrove,Marc Forster,72190 World War Z 6.7 Action Drama Horror Science Fiction Thriller dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse Brad Pitt Mireille Enos Abigail Hargrove Marc Forster
127585,X-Men: Days of Future Past,7.5,Action Adventure Fantasy Science Fiction,1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future,Hugh Jackman James McAvoy Michael Fassbender,Bryan Singer,127585 X-Men: Days of Future Past 7.5 Action Adventure Fantasy Science Fiction 1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future Hugh Jackman James McAvoy Michael Fassbender Bryan Singer
54138,Star Trek Into Darkness,7.4,Action Adventure Science Fiction,spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d,Chris Pine Zachary Quinto Zoe Saldana,J.J. Abrams,54138 Star Trek Into Darkness 7.4 Action Adventure Science Fiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d Chris Pine Zachary Quinto Zoe Saldana J.J. Abrams
81005,Jack the Giant Slayer,5.5,Action Family Fantasy,based on fairy tale giant,Nicholas Hoult Eleanor Tomlinson Ewan McGregor,Bryan Singer,81005 Jack the Giant Slayer 5.5 Action Family Fantasy based on fairy tale giant Nicholas Hoult Eleanor Tomlinson Ewan McGregor Bryan Singer
64682,The Great Gatsby,7.3,Drama Romance,based on novel infidelity obsession hope 3d,Leonardo DiCaprio Tobey Maguire Carey Mulligan,Baz Luhrmann,64682 The Great Gatsby 7.3 Drama Romance based on novel infidelity obsession hope 3d Leonardo DiCaprio Tobey Maguire Carey Mulligan Baz Luhrmann
9543,Prince of Persia: The Sands of Time,6.2,Adventure Fantasy Action Romance,persia sandstorm brother against brother armageddon regent based on video game,Jake Gyllenhaal Gemma Arterton Ben Kingsley,Mike Newell,9543 Prince of Persia: The Sands of Time 6.2 Adventure Fantasy Action Romance persia sandstorm brother against brother armageddon regent based on video game Jake Gyllenhaal Gemma Arterton Ben Kingsley Mike Newell
68726,Pacific Rim,6.7,Action Science Fiction Adventure,dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d,Idris Elba Charlie Hunnam Charlie Day,Guillermo del Toro,68726 Pacific Rim 6.7 Action Science Fiction Adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d Idris Elba Charlie Hunnam Charlie Day Guillermo del Toro
38356,Transformers: Dark of the Moon,6.1,Action Science Fiction Adventure,moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger,Shia LaBeouf John Malkovich Ken Jeong,Michael Bay,38356 Transformers: Dark of the Moon 6.1 Action Science Fiction Adventure moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger Shia LaBeouf John Malkovich Ken Jeong Michael Bay
217,Indiana Jones and the Kingdom of the Crystal Skull,5.7,Adventure Action,saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology ,Harrison Ford Cate Blanchett Shia LaBeouf,Steven Spielberg,217 Indiana Jones and the Kingdom of the Crystal Skull 5.7 Adventure Action saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology  Harrison Ford Cate Blanchett Shia LaBeouf Steven Spielberg
105864,The Good Dinosaur,6.6,Adventure Animation Family,tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey,Raymond Ochoa Jack Bright Jeffrey Wright,Peter Sohn,105864 The Good Dinosaur 6.6 Adventure Animation Family tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey Raymond Ochoa Jack Bright Jeffrey Wright Peter Sohn
62177,Brave,6.7,Animation Adventure Comedy Family Action Fantasy,scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d,Kelly Macdonald Julie Walters Billy Connolly,Brenda Chapman Mark Andrews Steve Purcell,62177 Brave 6.7 Animation Adventure Comedy Family Action Fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d Kelly Macdonald Julie Walters Billy Connolly Brenda Chapman Mark Andrews Steve Purcell
188927,Star Trek Beyond,6.6,Action Adventure Science Fiction,sequel stranded hatred space opera,Chris Pine Zachary Quinto Karl Urban,Justin Lin,188927 Star Trek Beyond 6.6 Action Adventure Science Fiction sequel stranded hatred space opera Chris Pine Zachary Quinto Karl Urban Justin Lin
10681,WALLÂ·E,7.8,Animation Family,romantic comedy,Ben Burtt Elissa Knight Jeff Garlin,Andrew Stanton,10681 WALLÂ·E 7.8 Animation Family romantic comedy Ben Burtt Elissa Knight Jeff Garlin Andrew Stanton
5174,Rush Hour 3,6.1,Action Comedy Crime Thriller,ambassador,Chris Tucker Jackie Chan Hiroyuki Sanada,Brett Ratner,5174 Rush Hour 3 6.1 Action Comedy Crime Thriller ambassador Chris Tucker Jackie Chan Hiroyuki Sanada Brett Ratner
14161,2012,5.6,Action Adventure Science Fiction,civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind,John Cusack Amanda Peet Chiwetel Ejiofor,Roland Emmerich,14161 2012 5.6 Action Adventure Science Fiction civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind John Cusack Amanda Peet Chiwetel Ejiofor Roland Emmerich
17979,A Christmas Carol,6.6,Animation Drama,holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas,Gary Oldman Jim Carrey Steve Valentine,Robert Zemeckis,17979 A Christmas Carol 6.6 Animation Drama holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas Gary Oldman Jim Carrey Steve Valentine Robert Zemeckis
76757,Jupiter Ascending,5.2,Science Fiction Fantasy Action Adventure,jupiter space woman director 3d interspecies romance,Mila Kunis Channing Tatum Sean Bean,Lilly Wachowski Lana Wachowski,76757 Jupiter Ascending 5.2 Science Fiction Fantasy Action Adventure jupiter space woman director 3d interspecies romance Mila Kunis Channing Tatum Sean Bean Lilly Wachowski Lana Wachowski
258489,The Legend of Tarzan,5.5,Action Adventure,africa feral child tarzan jungle animal attack,Alexander Skarsgård Margot Robbie Christoph Waltz,David Yates,258489 The Legend of Tarzan 5.5 Action Adventure africa feral child tarzan jungle animal attack Alexander Skarsgård Margot Robbie Christoph Waltz David Yates
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,Adventure Family Fantasy,saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger,William Moseley Anna Popplewell Skandar Keynes,Andrew Adamson,"411 The Chronicles of Narnia: The Lion, the Witch and the Wardrobe 6.7 Adventure Family Fantasy saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger William Moseley Anna Popplewell Skandar Keynes Andrew Adamson"
246655,X-Men: Apocalypse,6.4,Science Fiction,mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s,James McAvoy Michael Fassbender Jennifer Lawrence,Bryan Singer,246655 X-Men: Apocalypse 6.4 Science Fiction mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s James McAvoy Michael Fassbender Jennifer Lawrence Bryan Singer
155,The Dark Knight,8.2,Drama Action Crime Thriller,dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman,Christian Bale Heath Ledger Aaron Eckhart,Christopher Nolan,155 The Dark Knight 8.2 Drama Action Crime Thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman Christian Bale Heath Ledger Aaron Eckhart Christopher Nolan
14160,Up,7.7,Animation Comedy Family Adventure,age difference central and south america balloon animation floating in the air duringcreditsstinger exploring,Ed Asner Christopher Plummer Jordan Nagai,Pete Docter,14160 Up 7.7 Animation Comedy Family Adventure age difference central and south america balloon animation floating in the air duringcreditsstinger exploring Ed Asner Christopher Plummer Jordan Nagai Pete Docter
15512,Monsters vs Aliens,6.0,Animation Family Adventure Science Fiction,alien giant robot duringcreditsstinger,Seth Rogen Reese Witherspoon Hugh Laurie,Conrad Vernon Rob Letterman,15512 Monsters vs Aliens 6.0 Animation Family Adventure Science Fiction alien giant robot duringcreditsstinger Seth Rogen Reese Witherspoon Hugh Laurie Conrad Vernon Rob Letterman
