movie_id,title,rating,overview,genres,release_date,keywords,cast,director,comb
1452,Superman Returns,5.4,"superman returns to discover his 5-year absence has allowed lex luthor to walk free, and that those he was closest too felt abandoned and have moved on. luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever, as well as ridding himself of the man of steel.","['Adventure', 'Fantasy', 'Action', 'Science Fiction']",2006-06-28,"['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']","['Brandon Routh', 'Kevin Spacey', 'Kate Bosworth']",['Bryan Singer'],"1452 Superman Returns 5.4 Adventure, Fantasy, Action, Science Fiction Brandon Routh, Kevin Spacey, Kate Bosworth Bryan Singer"
10764,Quantum of Solace,6.1,"quantum of solace continues the adventures of james bond after casino royale. betrayed by vesper, the woman he loved, 007 fights the urge to make his latest mission personal. pursuing his determination to uncover the truth, bond and m interrogate mr. white, who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined.","['Adventure', 'Action', 'Thriller', 'Crime']",2008-10-30,"['killing', 'undercover', 'secret agent', 'british secret service']","['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric']",['Marc Forster'],"10764 Quantum of Solace 6.1 Adventure, Action, Thriller, Crime Daniel Craig, Olga Kurylenko, Mathieu Amalric Marc Forster"
58,Pirates of the Caribbean: Dead Man's Chest,7.0,"captain jack sparrow works his way out of a blood debt with the ghostly davey jones, he also attempts to avoid eternal damnation.","['Adventure', 'Fantasy', 'Action']",2006-06-20,"['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley']",['Gore Verbinski'],"58 Pirates of the Caribbean: Dead Man's Chest 7.0 Adventure, Fantasy, Action Johnny Depp, Orlando Bloom, Keira Knightley Gore Verbinski"
57201,The Lone Ranger,5.9,"the texas rangers chase down a gang of outlaws led by butch cavendish, but the gang ambushes the rangers, seemingly killing them all. one survivor is found, however, by an american indian named tonto, who nurses him back to health. the ranger, donning a mask and riding a white stallion named silver, teams up with tonto to bring the unscrupulous gang and others of that ilk to justice.","['Action', 'Adventure', 'Western']",2013-07-03,"['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']","['Johnny Depp', 'Armie Hammer', 'William Fichtner']",['Gore Verbinski'],"57201 The Lone Ranger 5.9 Action, Adventure, Western Johnny Depp, Armie Hammer, William Fichtner Gore Verbinski"
49521,Man of Steel,6.5,"a young boy learns that he has extraordinary powers and is not of this earth. as a young man, he journeys to discover where he came from and what he was sent here to do. but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.","['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2013-06-12,"['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']","['Henry Cavill', 'Amy Adams', 'Michael Shannon']",['Zack Snyder'],"49521 Man of Steel 6.5 Action, Adventure, Fantasy, Science Fiction Henry Cavill, Amy Adams, Michael Shannon Zack Snyder"
2454,The Chronicles of Narnia: Prince Caspian,6.3,"one year after their incredible adventures in the lion, the witch and the wardrobe, peter, edmund, lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz. now, with the help of a colorful cast of new characters, including trufflehunter the badger and nikabrik the dwarf, the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir.","['Adventure', 'Family', 'Fantasy']",2008-05-15,"['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']","['Ben Barnes', 'William Moseley', 'Anna Popplewell']",['Andrew Adamson'],"2454 The Chronicles of Narnia: Prince Caspian 6.3 Adventure, Family, Fantasy Ben Barnes, William Moseley, Anna Popplewell Andrew Adamson"
24428,The Avengers,7.4,"when an unexpected enemy emerges and threatens global safety and security, nick fury, director of the international peacekeeping agency known as s.h.i.e.l.d., finds himself in need of a team to pull the world back from the brink of disaster. spanning the globe, a daring recruitment effort begins!","['Science Fiction', 'Action', 'Adventure']",2012-04-25,"['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",['Joss Whedon'],"24428 The Avengers 7.4 Science Fiction, Action, Adventure Robert Downey Jr., Chris Evans, Mark Ruffalo Joss Whedon"
1865,Pirates of the Caribbean: On Stranger Tides,6.4,"captain jack sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled fountain of youth. when she forces him aboard the queen anne's revenge, the ship of the formidable pirate blackbeard, jack finds himself on an unexpected adventure in which he doesn't know who to fear more: blackbeard or the woman from his past.","['Adventure', 'Action', 'Fantasy']",2011-05-14,"['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']","['Johnny Depp', 'Penélope Cruz', 'Ian McShane']",['Rob Marshall'],"1865 Pirates of the Caribbean: On Stranger Tides 6.4 Adventure, Action, Fantasy Johnny Depp, Penélope Cruz, Ian McShane Rob Marshall"
41154,Men in Black 3,6.2,"agents j (will smith) and k (tommy lee jones) are back...in time. j has seen some inexplicable things in his 15 years with the men in black, but nothing, not even aliens, perplexes him as much as his wry, reticent partner. but when k's life and the fate of the planet are put at stake, agent j will have to travel back in time to put things right. j discovers that there are secrets to the universe that k never told him - secrets that will reveal themselves as he teams up with the young agent k (josh brolin) to save his partner, the agency, and the future of humankind.","['Action', 'Comedy', 'Science Fiction']",2012-05-23,"['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']","['Will Smith', 'Tommy Lee Jones', 'Josh Brolin']",['Barry Sonnenfeld'],"41154 Men in Black 3 6.2 Action, Comedy, Science Fiction Will Smith, Tommy Lee Jones, Josh Brolin Barry Sonnenfeld"
122917,The Hobbit: The Battle of the Five Armies,7.1,"immediately after the events of the desolation of smaug, bilbo and the dwarves try to defend erebor's mountain of treasure from others who claim it: the men of the ruined laketown and the elves of mirkwood. meanwhile an army of orcs led by azog the defiler is marching on erebor, fueled by the rise of the dark lord sauron. dwarves, elves and men must unite, and the hope for middle-earth falls into bilbo's hands.","['Action', 'Adventure', 'Fantasy']",2014-12-10,"['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']","['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",['Peter Jackson'],"122917 The Hobbit: The Battle of the Five Armies 7.1 Action, Adventure, Fantasy Martin Freeman, Ian McKellen, Richard Armitage Peter Jackson"
1930,The Amazing Spider-Man,6.5,"peter parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his uncle ben and aunt may. like most teenagers, peter is trying to figure out who he is and how he got to be the person he is today. as peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance â leading him directly to oscorp and the lab of dr. curt connors, his father's former partner. as spider-man is set on a collision course with connors' alter ego, the lizard, peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['Action', 'Adventure', 'Fantasy']",2012-06-27,"['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']","['Andrew Garfield', 'Emma Stone', 'Rhys Ifans']",['Marc Webb'],"1930 The Amazing Spider-Man 6.5 Action, Adventure, Fantasy Andrew Garfield, Emma Stone, Rhys Ifans Marc Webb"
20662,Robin Hood,6.2,"when soldier robin happens upon the dying robert of loxley, he promises to return the man's sword to his family in nottingham. there, he assumes robert's identity; romances his widow, marion; and draws the ire of the town's sheriff and king john's henchman, godfrey.","['Action', 'Adventure']",2010-05-12,"['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']","['Russell Crowe', 'Cate Blanchett', 'Max von Sydow']",['Ridley Scott'],"20662 Robin Hood 6.2 Action, Adventure Russell Crowe, Cate Blanchett, Max von Sydow Ridley Scott"
57158,The Hobbit: The Desolation of Smaug,7.6,"the dwarves, bilbo and gandalf have successfully escaped the misty mountains, and bilbo has gained the one ring. they all continue their journey to get their gold back from the dragon, smaug.","['Adventure', 'Fantasy']",2013-12-11,"['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']","['Martin Freeman', 'Ian McKellen', 'Richard Armitage']",['Peter Jackson'],"57158 The Hobbit: The Desolation of Smaug 7.6 Adventure, Fantasy Martin Freeman, Ian McKellen, Richard Armitage Peter Jackson"
2268,The Golden Compass,5.8,"after overhearing a shocking secret, precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north, unaware that it's part of her destiny.","['Adventure', 'Fantasy']",2007-12-04,"['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']","['Dakota Blue Richards', 'Nicole Kidman', 'Daniel Craig']",['Chris Weitz'],"2268 The Golden Compass 5.8 Adventure, Fantasy Dakota Blue Richards, Nicole Kidman, Daniel Craig Chris Weitz"
254,King Kong,6.6,"in 1933 new york, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island, where they encounter kong, a giant ape who is immediately smitten with the leading lady.","['Adventure', 'Drama', 'Action']",2005-12-14,"['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']","['Naomi Watts', 'Jack Black', 'Adrien Brody']",['Peter Jackson'],"254 King Kong 6.6 Adventure, Drama, Action Naomi Watts, Jack Black, Adrien Brody Peter Jackson"
597,Titanic,7.5,"84 years later, a 101-year-old woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert, brock lovett, lewis bodine, bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912, on a ship called titanic when young rose boards the departing ship with the upper-class passengers and her mother, ruth dewitt bukater, and her fiancã©, caledon hockley. meanwhile, a drifter and artist named jack dawson and his best friend fabrizio de rossi win third-class tickets to the ship in a game. and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th, 1912 at 2:20 in the morning.","['Drama', 'Romance', 'Thriller']",1997-11-18,"['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']","['Kate Winslet', 'Leonardo DiCaprio', 'Frances Fisher']",['James Cameron'],"597 Titanic 7.5 Drama, Romance, Thriller Kate Winslet, Leonardo DiCaprio, Frances Fisher James Cameron"
271110,Captain America: Civil War,7.1,"following the events of age of ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. this polarizes opinion amongst the avengers, causing two factions to side with iron man or captain america, which causes an epic battle between former allies.","['Adventure', 'Action', 'Science Fiction']",2016-04-27,"['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']","['Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']","['Anthony Russo', 'Joe Russo']","271110 Captain America: Civil War 7.1 Adventure, Action, Science Fiction Chris Evans, Robert Downey Jr., Scarlett Johansson Anthony Russo, Joe Russo"
44833,Battleship,5.5,"when mankind beams a radio signal into space, a reply comes from âplanet gâ, in the form of several alien crafts that splash down in the waters off hawaii. lieutenant alex hopper is a weapons officer assigned to the uss john paul jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. while taking on the invaders, hopper must also try to live up to the potential his brother, and his fiancã©e's father, admiral shane, expect of him.","['Thriller', 'Action', 'Adventure', 'Science Fiction']",2012-04-11,"['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']","['Taylor Kitsch', 'Alexander Skarsgård', 'Rihanna']",['Peter Berg'],"44833 Battleship 5.5 Thriller, Action, Adventure, Science Fiction Taylor Kitsch, Alexander Skarsgård, Rihanna Peter Berg"
135397,Jurassic World,6.5,"twenty-two years after the events of jurassic park, isla nublar now features a fully functioning dinosaur theme park, jurassic world, as originally envisioned by john hammond.","['Action', 'Adventure', 'Science Fiction', 'Thriller']",2015-06-09,"['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']","['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan']",['Colin Trevorrow'],"135397 Jurassic World 6.5 Action, Adventure, Science Fiction, Thriller Chris Pratt, Bryce Dallas Howard, Irrfan Khan Colin Trevorrow"
37724,Skyfall,6.9,"when bond's latest assignment goes gravely wrong and agents around the world are exposed, mi6 is attacked forcing m to relocate the agency. these events cause her authority and position to be challenged by gareth mallory, the new chairman of the intelligence and security committee. with mi6 now compromised from both inside and out, m is left with one ally she can trust: bond. 007 takes to the shadows - aided only by field agent, eve - following a trail to the mysterious silva, whose lethal and hidden motives have yet to reveal themselves.","['Action', 'Adventure', 'Thriller']",2012-10-25,"['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']","['Daniel Craig', 'Judi Dench', 'Javier Bardem']",['Sam Mendes'],"37724 Skyfall 6.9 Action, Adventure, Thriller Daniel Craig, Judi Dench, Javier Bardem Sam Mendes"
558,Spider-Man 2,6.7,"peter parker is going through a major identity crisis. burned out from being spider-man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil doc ock. in the meantime, parker still can't act on his feelings for mary jane watson, a girl he's loved since childhood.","['Action', 'Adventure', 'Fantasy']",2004-06-25,"['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']","['Tobey Maguire', 'Kirsten Dunst', 'James Franco']",['Sam Raimi'],"558 Spider-Man 2 6.7 Action, Adventure, Fantasy Tobey Maguire, Kirsten Dunst, James Franco Sam Raimi"
68721,Iron Man 3,6.8,"when tony stark's world is torn apart by a formidable terrorist called the mandarin, he starts an odyssey of rebuilding and retribution.","['Action', 'Adventure', 'Science Fiction']",2013-04-18,"['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle']",['Shane Black'],"68721 Iron Man 3 6.8 Action, Adventure, Science Fiction Robert Downey Jr., Gwyneth Paltrow, Don Cheadle Shane Black"
12155,Alice in Wonderland,6.4,"alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an english nobleman. at her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. arriving in a strange and surreal place called 'underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. alice realizes that she is there for a reason â to conquer the horrific jabberwocky and restore the rightful queen to her throne.","['Family', 'Fantasy', 'Adventure']",2010-03-03,"['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']","['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway']",['Tim Burton'],"12155 Alice in Wonderland 6.4 Family, Fantasy, Adventure Mia Wasikowska, Johnny Depp, Anne Hathaway Tim Burton"
36668,X-Men: The Last Stand,6.3,"when a cure is found to treat mutations, lines are drawn amongst the x-men and the brotherhood, a band of powerful mutants organized under xavier's former ally, magneto.","['Adventure', 'Action', 'Science Fiction', 'Thriller']",2006-05-24,"['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']","['Hugh Jackman', 'Halle Berry', 'Ian McKellen']",['Brett Ratner'],"36668 X-Men: The Last Stand 6.3 Adventure, Action, Science Fiction, Thriller Hugh Jackman, Halle Berry, Ian McKellen Brett Ratner"
62211,Monsters University,7.0,a look at the relationship between mike and sulley during their days at monsters university â when they weren't necessarily the best of friends.,"['Animation', 'Family']",2013-06-20,"['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']","['Billy Crystal', 'John Goodman', 'Steve Buscemi']",['Dan Scanlon'],"62211 Monsters University 7.0 Animation, Family Billy Crystal, John Goodman, Steve Buscemi Dan Scanlon"
8373,Transformers: Revenge of the Fallen,6.0,"sam witwicky leaves the autobots behind for a normal life. but when his mind is filled with cryptic symbols, the decepticons target him and he is dragged back into the transformers' war.","['Science Fiction', 'Action', 'Adventure']",2009-06-19,"['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']","['Shia LaBeouf', 'Megan Fox', 'Josh Duhamel']",['Michael Bay'],"8373 Transformers: Revenge of the Fallen 6.0 Science Fiction, Action, Adventure Shia LaBeouf, Megan Fox, Josh Duhamel Michael Bay"
91314,Transformers: Age of Extinction,5.8,"as humanity picks up the pieces, following the conclusion of ""transformers: dark of the moon,"" autobots and decepticons have all but vanished from the face of the planet. however, a group of powerful, ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful transformer menace sets earth in his cross-hairs.","['Science Fiction', 'Action', 'Adventure']",2014-06-25,"['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']","['Mark Wahlberg', 'Stanley Tucci', 'Kelsey Grammer']",['Michael Bay'],"91314 Transformers: Age of Extinction 5.8 Science Fiction, Action, Adventure Mark Wahlberg, Stanley Tucci, Kelsey Grammer Michael Bay"
68728,Oz: The Great and Powerful,5.7,"oscar diggs, a small-time circus illusionist and con-artist, is whisked from kansas to the land of oz where the inhabitants assume he's the great wizard of prophecy, there to save oz from the clutches of evil.","['Fantasy', 'Adventure', 'Family']",2013-03-07,"['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magic trick', 'wizard', '3d']","['James Franco', 'Mila Kunis', 'Rachel Weisz']",['Sam Raimi'],"68728 Oz: The Great and Powerful 5.7 Fantasy, Adventure, Family James Franco, Mila Kunis, Rachel Weisz Sam Raimi"
102382,The Amazing Spider-Man 2,6.5,"for peter parker, life is busy. between taking out the bad guys as spider-man and spending time with the person he loves, gwen stacy, high school graduation cannot come quickly enough. peter has not forgotten about the promise he made to gwenâs father to protect her by staying away, but that is a promise he cannot keep. things will change for peter when a new villain, electro, emerges, an old friend, harry osborn, returns, and peter uncovers new clues about his past.","['Action', 'Adventure', 'Fantasy']",2014-04-16,"['obsession', 'marvel comic', 'sequel', 'based on comic book', 'electrocution', 'medical experiment', 'electricity', 'super powers']","['Andrew Garfield', 'Emma Stone', 'Jamie Foxx']",['Marc Webb'],"102382 The Amazing Spider-Man 2 6.5 Action, Adventure, Fantasy Andrew Garfield, Emma Stone, Jamie Foxx Marc Webb"
20526,TRON: Legacy,6.3,"sam flynn, the tech-savvy and daring son of kevin flynn, investigates his father's disappearance and is pulled into the grid. with the help of a mysterious program named quorra, sam quests to stop evil dictator clu from crossing into the real world.","['Adventure', 'Action', 'Science Fiction']",2010-12-10,"['artificial intelligence', 'secret identity', 'computer program', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neon light', 'autocracy']","['Garrett Hedlund', 'Jeff Bridges', 'Olivia Wilde']",['Joseph Kosinski'],"20526 TRON: Legacy 6.3 Adventure, Action, Science Fiction Garrett Hedlund, Jeff Bridges, Olivia Wilde Joseph Kosinski"
